date,stock_code,avg_sentiment,bullish_ratio,comment_volume,disagreement
2025-12-27,002475,0.7462,1.0,10,0.0
2026-01-11,300059,-0.6429,0.0,10,0.0
2026-01-16,002475,0.0,0.0,10,0.0
2026-01-18,600036,0.0676,0.0,10,0.0
2026-01-23,600036,0.2865,1.0,10,0.0
2026-01-23,600276,-0.3229,0.0,10,0.0
2026-01-26,600519,0.9993,1.0,1,0.0
2026-01-29,600276,-0.9465,0.0,10,0.0
2026-02-01,600036,-0.284,0.0,10,0.0
2026-02-05,000333,0.9532,1.0,10,0.0
2026-02-06,002714,0.9899,1.0,10,0.0
2026-02-08,600519,0.7715,1.0,1,0.0
2026-02-13,600276,-0.7696,0.0,10,0.0
2026-02-24,300059,0.1652,0.0,10,0.0
2026-02-25,002714,-0.0753,0.0,10,0.0
2026-02-25,600519,0.428,1.0,1,0.0
2026-02-26,002594,-0.3397,0.0,10,0.0
2026-02-28,000858,0.5403,1.0,10,0.0
2026-03-02,601899,-0.9915,0.0,10,0.0
2026-03-10,300750,0.26,1.0,1,0.0
2026-03-11,600519,0.93,1.0,1,0.0
2026-03-16,000858,0.1688,0.0,10,0.0
2026-03-16,002594,0.3153,0.3333,30,0.4835
2026-03-17,601318,0.6409,1.0,1,0.0
2026-03-18,300750,0.1517,0.0,1,0.0
2026-03-19,300059,-0.1758,0.5,20,0.6846
2026-03-19,300750,0.8835,1.0,1,0.0
2026-03-20,000001,-0.2175,0.3041,194,0.6565
2026-03-20,000333,0.3863,1.0,10,0.0
2026-03-20,300059,-0.8251,0.0,10,0.0
2026-03-20,600036,-0.1475,0.0,10,0.0
2026-03-20,600519,-0.1365,0.3455,110,0.6569
2026-03-21,000001,-0.159,0.3333,81,0.7011
2026-03-21,300750,0.9664,1.0,2,0.0208
2026-03-21,600519,0.2314,0.6333,30,0.7654
2026-03-22,000001,-0.5169,0.1667,42,0.6012
2026-03-22,300059,1.0,1.0,10,0.0
2026-03-22,300750,0.1935,0.5714,42,0.739
2026-03-22,600519,0.2185,0.5938,32,0.6865
2026-03-22,600900,0.2494,0.5,20,0.0494
2026-03-22,601899,0.6955,1.0,20,0.1661
2026-03-23,000001,-0.2359,0.2903,155,0.676
2026-03-23,000333,0.0926,0.0,10,0.0
2026-03-23,002594,0.6365,1.0,10,0.0
2026-03-23,300059,-0.8125,0.0,10,0.0
2026-03-23,300750,0.1249,0.4459,157,0.6542
2026-03-23,600036,0.6184,0.75,40,0.3817
2026-03-23,600519,-0.113,0.3354,164,0.6622
2026-03-23,600900,-0.8427,0.0,10,0.0
2026-03-23,601318,-0.0487,0.5,2,0.4284
2026-03-23,601899,0.0472,0.3333,30,0.7123
2026-03-24,000001,-0.1151,0.3694,157,0.6597
2026-03-24,000333,-0.0235,0.0,20,0.114
2026-03-24,000858,-0.2599,0.3333,30,0.6638
2026-03-24,002714,0.4941,0.6667,30,0.3313
2026-03-24,300059,0.9993,1.0,10,0.0
2026-03-24,300750,-0.0135,0.3735,166,0.6249
2026-03-24,600519,0.0491,0.4371,151,0.6668
2026-03-24,601318,0.1554,0.5,2,0.0611
2026-03-24,601899,-0.392,0.0,20,0.3561
2026-03-25,000001,-0.1896,0.2469,81,0.6272
2026-03-25,000333,-0.1291,0.3462,260,0.6607
2026-03-25,000858,0.0993,0.5,20,0.2555
2026-03-25,002475,-0.3298,0.25,40,0.7067
2026-03-25,002594,-0.7633,0.0,10,0.0
2026-03-25,002714,0.7508,1.0,20,0.0247
2026-03-25,300059,0.2052,0.5,20,0.027
2026-03-25,300750,0.0584,0.4338,136,0.6519
2026-03-25,600036,-0.0652,0.3077,260,0.6141
2026-03-25,600276,0.5651,1.0,10,0.0
2026-03-25,600519,-0.0179,0.4159,113,0.685
2026-03-25,600900,-0.101,0.2353,170,0.4206
2026-03-25,601012,0.8777,1.0,10,0.0
2026-03-25,601318,0.3635,0.6667,3,0.7736
2026-03-25,601899,0.037,0.5,40,0.6272
2026-03-26,000001,-0.2398,0.2564,39,0.6657
2026-03-26,000333,0.0698,0.4167,240,0.6363
2026-03-26,000858,-0.026,0.3137,510,0.5182
2026-03-26,002475,0.0096,0.3818,550,0.6221
2026-03-26,002594,-0.0587,0.3333,510,0.6311
2026-03-26,002714,0.0907,0.3396,530,0.4759
2026-03-26,300059,-0.027,0.2667,450,0.4865
2026-03-26,300750,0.121,0.528,214,0.6585
2026-03-26,600036,0.1614,0.4286,350,0.5129
2026-03-26,600276,0.1629,0.4909,550,0.6887
2026-03-26,600519,-0.0226,0.3475,118,0.6322
2026-03-26,600900,-0.0745,0.3958,480,0.5964
2026-03-26,601012,-0.0393,0.381,630,0.6081
2026-03-26,601318,-0.15,0.2921,630,0.6163
2026-03-26,601899,-0.0296,0.2766,470,0.5653
2026-03-27,000001,0.0633,0.475,40,0.7011
2026-03-27,000858,0.1933,0.3333,30,0.6178
2026-03-27,002475,0.1763,0.5,60,0.6122
2026-03-27,002594,0.0709,0.5882,170,0.6485
2026-03-27,002714,0.1147,0.6667,30,0.5458
2026-03-27,300059,-0.0291,0.2632,190,0.4495
2026-03-27,300750,0.2031,0.5362,69,0.6053
2026-03-27,600036,0.0717,0.0,10,0.0
2026-03-27,600276,-0.1362,0.2,50,0.5234
2026-03-27,600519,0.0281,0.3833,60,0.661
2026-03-27,600900,0.0613,0.0,20,0.063
2026-03-27,601012,-0.6112,0.0,60,0.3548
2026-03-27,601318,-0.0992,0.3212,137,0.6618
2026-03-27,601899,-0.0618,0.25,120,0.5059
